Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title,Standardized_Occupation_Name
Industrial production managers,289682,9049.0,221926,7716.0,67756,4615.0,23.4,1.4,90009,2232,91286,1417,81724,3192,89.5,3.6,2022,0.1367473040360637,industrial production managers,11-3051.04,Biomass Power Plant Managers,11-3051,Industrial Production Managers,industrial production managers
Industrial production managers,289682,9049.0,221926,7716.0,67756,4615.0,23.4,1.4,90009,2232,91286,1417,81724,3192,89.5,3.6,2022,0.1367473040360637,industrial production managers,11-3051.06,Hydroelectric Production Managers,11-3051,Industrial Production Managers,industrial production managers
Purchasing managers,234722,9374.0,117357,6441.0,117365,6464.0,50.0,1.9,87491,2595,95969,2394,81442,1876,84.9,2.6,2022,0.23686975822351697,purchasing managers,11-3061.00,Purchasing Managers,11-3061,Purchasing Managers,purchasing managers
Transportation storage and distribution managers,304688,10894.0,239844,9849.0,64844,4358.0,21.3,1.3,64609,1019,65314,1403,61821,3153,94.7,5.5,2022,0.13087021345584915,transportation storage and distribution managers,11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, Storage, and Distribution Managers",transportation storage and distribution managers
Transportation storage and distribution managers,304688,10894.0,239844,9849.0,64844,4358.0,21.3,1.3,64609,1019,65314,1403,61821,3153,94.7,5.5,2022,0.13087021345584915,transportation storage and distribution managers,11-3071.04,Supply Chain Managers,11-3071,"Transportation, Storage, and Distribution Managers",transportation storage and distribution managers
Farmers ranchers and other agricultural managers,463298,10674.0,402198,9534.0,61100,3841.0,13.2,0.7,50519,718,51890,722,37170,2771,71.6,5.5,2022,0.12331395413843042,farmers ranchers and other agricultural managers,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",farmers ranchers and other agricultural managers
Construction managers,944485,18964.0,864745,17853.0,79740,5362.0,8.4,0.5,83790,1227,84670,1210,75350,3745,89,4.4,2022,0.16093379219310053,construction managers,11-9021.00,Construction Managers,11-9021,Construction Managers,construction managers
Education and childcare administrators,894262,16900.0,318091,10801.0,576171,13053.0,64.4,0.9,79682,1043,91309,1427,73150,1167,80.1,1.7,2022,1.1628465510620885,education and childcare administrators,,,,,
Architectural and engineering managers,214519,8317.0,189262,7900.0,25257,2420.0,11.8,1.1,158325,2763,159400,2796,151802,5960,95.2,4.6,2022,0.050974476917746925,architectural and engineering managers,11-9041.00,Architectural and Engineering Managers,11-9041,Architectural and Engineering Managers,architectural and engineering managers
Architectural and engineering managers,214519,8317.0,189262,7900.0,25257,2420.0,11.8,1.1,158325,2763,159400,2796,151802,5960,95.2,4.6,2022,0.050974476917746925,architectural and engineering managers,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,11-9041,Architectural and Engineering Managers,architectural and engineering managers
Food service managers,783422,17563.0,422635,12021.0,360787,12248.0,46.1,1.1,48167,1024,53816,1041,41433,669,77,1.7,2022,0.7281517442183616,food service managers,11-9051.00,Food Service Managers,11-9051,Food Service Managers,food service managers
Funeral home managers,7195,1395.0,3643,891.0,3552,1120.0,49.4,10.2,74296,21130,95277,29507,60988,18976,(X),(X),2022,0.007168758839602371,funeral home managers,11-9171.00,Funeral Home Managers,11-9171,Funeral Home Managers,funeral home managers
Entertainment and recreation managers,47730,3798.0,30321,2932.0,17409,2217.0,36.5,3.6,57888,3379,61369,4577,53676,2891,87.5,9,2022,0.03513539488700385,entertainment and recreation managers,,,,,
Lodging managers,99384,5914.0,52915,4490.0,46469,3946.0,46.8,3.0,58185,3214,65160,5346,52213,2136,80.1,7.3,2022,0.09378520678983181,lodging managers,11-9081.00,Lodging Managers,11-9081,Lodging Managers,lodging managers
Medical and health services managers,731398,16288.0,204296,7407.0,527102,13055.0,72.1,0.8,81740,1028,91963,2724,78812,1687,85.7,3,2022,1.0638139419684935,medical and health services managers,11-9111.00,Medical and Health Services Managers,11-9111,Medical and Health Services Managers,medical and health services managers
Natural sciences managers,42001,4053.0,15085,2118.0,26916,3550.0,64.1,4.5,82685,6210,89828,4198,77602,4839,86.4,6.7,2022,0.05432272323387878,natural sciences managers,11-9121.00,Natural Sciences Managers,11-9121,Natural Sciences Managers,natural sciences managers
Natural sciences managers,42001,4053.0,15085,2118.0,26916,3550.0,64.1,4.5,82685,6210,89828,4198,77602,4839,86.4,6.7,2022,0.05432272323387878,natural sciences managers,11-9121.01,Clinical Research Coordinators,11-9121,Natural Sciences Managers,natural sciences managers
Natural sciences managers,42001,4053.0,15085,2118.0,26916,3550.0,64.1,4.5,82685,6210,89828,4198,77602,4839,86.4,6.7,2022,0.05432272323387878,natural sciences managers,11-9121.02,Water Resource Specialists,11-9121,Natural Sciences Managers,natural sciences managers
Postmasters and mail superintendents,23657,2865.0,12411,1978.0,11246,1812.0,47.5,5.3,82241,2700,86108,4280,78405,2320,91.1,5.3,2022,0.022697033195430257,postmasters and mail superintendents,11-9131.00,Postmasters and Mail Superintendents,11-9131,Postmasters and Mail Superintendents,postmasters and mail superintendents
Property real estate and community association managers,471991,12703.0,220884,7934.0,251107,9749.0,53.2,1.3,63550,1067,73388,3033,57521,2131,78.4,4.4,2022,0.5067920962657749,property real estate and community association managers,11-9141.00,"Property, Real Estate, and Community Association Managers",11-9141,"Property, Real Estate, and Community Association Managers",property real estate and community association managers
Social and community service managers,456846,11747.0,134049,6746.0,322797,8858.0,70.7,1.1,64254,1246,72390,3158,62101,1215,85.8,4.1,2022,0.6514791236337631,social and community service managers,11-9151.00,Social and Community Service Managers,11-9151,Social and Community Service Managers,social and community service managers
Emergency management directors,14342,2199.0,9100,1518.0,5242,1515.0,36.5,7.6,86406,8811,93258,11424,75270,9961,(X),(X),2022,0.01057957033704832,emergency management directors,11-9161.00,Emergency Management Directors,11-9161,Emergency Management Directors,emergency management directors
Personal service managers all other,59103,4662.0,19295,2715.0,39808,3789.0,67.4,3.7,49420,2439,62724,5439,45091,3988,71.9,9,2022,0.08034176573392207,personal service managers all other,11-9179.00,"Personal Service Managers, All Other",11-9179,"Personal Service Managers, All Other",personal service managers all other
Personal service managers all other,59103,4662.0,19295,2715.0,39808,3789.0,67.4,3.7,49420,2439,62724,5439,45091,3988,71.9,9,2022,0.08034176573392207,personal service managers all other,11-9179.01,Fitness and Wellness Coordinators,11-9179,"Personal Service Managers, All Other",personal service managers all other
Personal service managers all other,59103,4662.0,19295,2715.0,39808,3789.0,67.4,3.7,49420,2439,62724,5439,45091,3988,71.9,9,2022,0.08034176573392207,personal service managers all other,11-9179.02,Spa Managers,11-9179,"Personal Service Managers, All Other",personal service managers all other
Managers all other,3971697,41551.0,2455515,33113.0,1516182,22575.0,38.2,0.5,93144,694,102003,486,80164,847,78.6,1,2022,3.0600065075861496,managers all other,11-9199.00,"Managers, All Other",11-9199,"Managers, All Other",managers all other
Managers all other,3971697,41551.0,2455515,33113.0,1516182,22575.0,38.2,0.5,93144,694,102003,486,80164,847,78.6,1,2022,3.0600065075861496,managers all other,11-9199.01,Regulatory Affairs Managers,11-9199,"Managers, All Other",managers all other
Managers all other,3971697,41551.0,2455515,33113.0,1516182,22575.0,38.2,0.5,93144,694,102003,486,80164,847,78.6,1,2022,3.0600065075861496,managers all other,11-9199.02,Compliance Managers,11-9199,"Managers, All Other",managers all other
Managers all other,3971697,41551.0,2455515,33113.0,1516182,22575.0,38.2,0.5,93144,694,102003,486,80164,847,78.6,1,2022,3.0600065075861496,managers all other,11-9199.08,Loss Prevention Managers,11-9199,"Managers, All Other",managers all other
Managers all other,3971697,41551.0,2455515,33113.0,1516182,22575.0,38.2,0.5,93144,694,102003,486,80164,847,78.6,1,2022,3.0600065075861496,managers all other,11-9199.09,Wind Energy Operations Managers,11-9199,"Managers, All Other",managers all other
Managers all other,3971697,41551.0,2455515,33113.0,1516182,22575.0,38.2,0.5,93144,694,102003,486,80164,847,78.6,1,2022,3.0600065075861496,managers all other,11-9199.10,Wind Energy Development Managers,11-9199,"Managers, All Other",managers all other
Managers all other,3971697,41551.0,2455515,33113.0,1516182,22575.0,38.2,0.5,93144,694,102003,486,80164,847,78.6,1,2022,3.0600065075861496,managers all other,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199,"Managers, All Other",managers all other
Business and Financial Operations Occupations,8274826,51495.0,3873340,36276.0,4401486,37763.0,53.2,0.3,79502,445,90069,577,71856,438,79.8,0.7,2022,8.883218375530992,business and financial operations occupations,,,,,
Agents and business managers of artists performers and athletes,38529,3862.0,21211,3005.0,17318,2745.0,44.9,5.5,80544,6658,86989,16343,77522,5726,89.1,19.5,2022,0.03495173580637215,agents and business managers of artists performers and athletes,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",agents and business managers of artists performers and athletes
Buyers and purchasing agents farm products,11016,2244.0,7827,2157.0,3189,1007.0,28.9,9.4,60016,6666,57154,10938,60689,3635,(X),(X),2022,0.0064361407487308455,buyers and purchasing agents farm products,13-1021.00,"Buyers and Purchasing Agents, Farm Products",13-1021,"Buyers and Purchasing Agents, Farm Products",buyers and purchasing agents farm products
Wholesale and retail buyers except farm products,162959,7569.0,83545,5083.0,79414,5371.0,48.7,2.2,49096,1468,49268,2323,48925,2095,99.3,6.9,2022,0.16027584867347486,wholesale and retail buyers except farm products,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",13-1022,"Wholesale and Retail Buyers, Except Farm Products",wholesale and retail buyers except farm products
Purchasing agents except wholesale retail and farm products,258874,9751.0,122580,7003.0,136294,6207.0,52.6,1.7,64287,972,66926,1501,61882,1467,92.5,3.1,2022,0.2750728652265669,purchasing agents except wholesale retail and farm products,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",purchasing agents except wholesale retail and farm products
Claims adjusters appraisers examiners and investigators,310640,9491.0,123246,5945.0,187394,8736.0,60.3,1.8,62505,1254,71947,1700,56033,1617,77.9,2.9,2022,0.37820450281206275,claims adjusters appraisers examiners and investigators,,,,,
Compliance officers,318026,10792.0,142392,6431.0,175634,8148.0,55.2,1.5,76409,1371,78206,2604,75146,2623,96.1,4.8,2022,0.35447009854581163,compliance officers,13-1041.00,Compliance Officers,13-1041,Compliance Officers,compliance officers
Compliance officers,318026,10792.0,142392,6431.0,175634,8148.0,55.2,1.5,76409,1371,78206,2604,75146,2623,96.1,4.8,2022,0.35447009854581163,compliance officers,13-1041.01,Environmental Compliance Inspectors,13-1041,Compliance Officers,compliance officers
Compliance officers,318026,10792.0,142392,6431.0,175634,8148.0,55.2,1.5,76409,1371,78206,2604,75146,2623,96.1,4.8,2022,0.35447009854581163,compliance officers,13-1041.03,Equal Opportunity Representatives and Officers,13-1041,Compliance Officers,compliance officers
Compliance officers,318026,10792.0,142392,6431.0,175634,8148.0,55.2,1.5,76409,1371,78206,2604,75146,2623,96.1,4.8,2022,0.35447009854581163,compliance officers,13-1041.04,Government Property Inspectors and Investigators,13-1041,Compliance Officers,compliance officers
Compliance officers,318026,10792.0,142392,6431.0,175634,8148.0,55.2,1.5,76409,1371,78206,2604,75146,2623,96.1,4.8,2022,0.35447009854581163,compliance officers,13-1041.06,Coroners,13-1041,Compliance Officers,compliance officers
Compliance officers,318026,10792.0,142392,6431.0,175634,8148.0,55.2,1.5,76409,1371,78206,2604,75146,2623,96.1,4.8,2022,0.35447009854581163,compliance officers,13-1041.07,Regulatory Affairs Specialists,13-1041,Compliance Officers,compliance officers
Compliance officers,318026,10792.0,142392,6431.0,175634,8148.0,55.2,1.5,76409,1371,78206,2604,75146,2623,96.1,4.8,2022,0.35447009854581163,compliance officers,13-1041.08,Customs Brokers,13-1041,Compliance Officers,compliance officers
Cost estimators,144707,7453.0,121540,6449.0,23167,2944.0,16.0,1.8,77484,2384,81208,2088,62419,3321,76.9,4.4,2022,0.0467563727581836,cost estimators,13-1051.00,Cost Estimators,13-1051,Cost Estimators,cost estimators
Human resources workers,891153,18353.0,227697,9485.0,663456,16240.0,74.4,0.9,69090,1126,76169,2386,67046,1026,88,2.9,2022,1.339007901094378,human resources workers,,,,,
Compensation benefits and job analysis specialists,75148,5041.0,20335,2591.0,54813,4322.0,72.9,3.0,65693,3386,72058,4268,62674,3433,87,7,2022,0.11062533172160045,compensation benefits and job analysis specialists,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13-1141,"Compensation, Benefits, and Job Analysis Specialists",compensation benefits and job analysis specialists
Training and development specialists,163797,7633.0,76066,5330.0,87731,5327.0,53.6,2.3,69172,1712,74779,2838,64361,2655,86.1,4.6,2022,0.17706148135055058,training and development specialists,13-1151.00,Training and Development Specialists,13-1151,Training and Development Specialists,training and development specialists
Logisticians,163635,7302.0,102377,6118.0,61258,4926.0,37.4,2.5,61013,1596,63544,1964,57006,3406,89.7,6.5,2022,0.1236328347399668,logisticians,13-1081.00,Logisticians,13-1081,Logisticians,logisticians
Logisticians,163635,7302.0,102377,6118.0,61258,4926.0,37.4,2.5,61013,1596,63544,1964,57006,3406,89.7,6.5,2022,0.1236328347399668,logisticians,13-1081.01,Logistics Engineers,13-1081,Logisticians,logisticians
Logisticians,163635,7302.0,102377,6118.0,61258,4926.0,37.4,2.5,61013,1596,63544,1964,57006,3406,89.7,6.5,2022,0.1236328347399668,logisticians,13-1081.02,Logistics Analysts,13-1081,Logisticians,logisticians
