,Occupation Name,Exposure Score,Exposure Score * 100,Occupational Category,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Median_Earnings_Estimate,Similarity Score
818,Management Analysts,6.374714721263463e-05,0.006374714721263463,Management analysts,43.2,1.0,85.4,90607,1.0
819,First-Line Supervisors of Housekeeping and Janitorial Workers,6.339890971358222e-05,0.006339890971358222,Firstline supervisors of housekeeping and janitorial workers,43.2,2.3,75.1,38773,0.7787822158186533
820,Supply Chain Managers,6.33650439462857e-05,0.00633650439462857,Sales managers,30.9,1.2,71.1,86475,0.21329751329891386
821,Transportation Engineers,6.331486119191896e-05,0.006331486119191897,Other transportation workers,22.7,3.7,77.9,48113,0.5669435504003072
822,"Fraud Examiners, Investigators and Analysts",6.266849155622642e-05,0.006266849155622642,Claims adjusters appraisers examiners and investigators,60.3,1.8,77.9,56033,0.40553814040478636
823,Gambling Managers,6.258409611456076e-05,0.006258409611456076,Gambling services workers,39.6,3.6,87.3,42957,0.5415221075926412
824,Dredge Operators,6.252499636606466e-05,0.006252499636606466,Conveyor dredge and hoist and winch operators,4.1,2.2,(X),28992,0.5251199653359134
825,Zoologists and Wildlife Biologists,6.223252642738889e-05,0.0062232526427388885,Molders and molding machine setters operators and tenders metal and plastic,13.9,3.3,(X),36238,0.04519251908997942
826,Registered Nurses,6.160828062155321e-05,0.006160828062155321,Registered nurses,86.2,0.4,91.4,77582,1.0000000000000002
827,"Makeup Artists, Theatrical and Performance",6.158785775231784e-05,0.006158785775231784,Artists and related workers,41.0,2.2,68.5,42772,0.3111749972250457
828,Motion Picture Projectionists,6.148749876504473e-05,0.006148749876504473,Total,43.5,0.1,82,51400,0.0
829,"Transportation, Storage, and Distribution Managers",6.145672025548346e-05,0.006145672025548346,Transportation storage and distribution managers,21.3,1.3,94.7,61821,1.0
