,Occupation Name,Exposure Score,Exposure Score * 100,Occupational Category,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Median_Earnings_Estimate,Similarity Score
79,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",0.0001733554675134628,0.01733554675134628,Plumbers pipefitters and steamfitters,1.4,0.3,(X),54722,0.8045211073021314
80,"Patternmakers, Metal and Plastic",0.0001729785028957349,0.01729785028957349,Model makers and patternmakers metal and plastic,26.9,13.2,(X),35517,0.723216852724812
81,Hazardous Materials Removal Workers,0.0001729386596992118,0.01729386596992118,Hazardous materials removal workers,26.0,7.2,(X),38333,1.0
82,Online Merchants,0.0001729318001623811,0.01729318001623811,Total,43.5,0.1,82,51400,0.0
83,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.0001729238628947879,0.017292386289478788,Cutting punching and press machine setters operators and tenders metal and plastic,15.0,2.4,78.8,34254,1.0
84,Electromechanical Equipment Assemblers,0.0001726870230367885,0.01726870230367885,Electrical electronics and electromechanical assemblers,43.2,2.5,86.1,35661,0.6657201518671526
85,Crane and Tower Operators,0.0001726803488551399,0.01726803488551399,Crane and tower operators,1.6,1.0,(X),48781,1.0000000000000002
86,Electro-Mechanical and Mechatronics Technologists and Technicians,0.0001724244275328357,0.01724244275328357,Mechanical engineers,9.3,0.8,95.2,93962,0.36024090561919714
87,"Sewers, Hand",0.0001723273836568493,0.01723273836568493,Tailors dressmakers and sewers,66.3,4.9,89.1,35415,0.4170190535432641
88,Court Reporters and Simultaneous Captioners,0.0001717675704583709,0.017176757045837092,Court reporters and simultaneous captioners,89.0,3.5,(X),70078,1.0000000000000002
89,Riggers,0.0001717081810686683,0.01717081810686683,Riggers,6.8,6.4,(X),59729,1.0
90,Tellers,0.0001715953408264776,0.01715953408264776,Tellers,85.9,1.6,92.7,33404,1.0
91,Robotics Technicians,0.0001715734706891338,0.017157347068913382,Dietetic technicians and ophthalmic medical technicians,79.3,4.2,(X),34290,0.2627629127089599
92,Floor Sanders and Finishers,0.0001714504680884217,0.01714504680884217,Carpet floor and tile installers and finishers,3.7,1.5,(X),34855,0.5091533694739717
93,Print Binding and Finishing Workers,0.0001713375336659044,0.01713375336659044,Print binding and finishing workers,28.6,8.7,(X),35741,1.0000000000000004
94,"Mobile Heavy Equipment Mechanics, Except Engines",0.0001713269576857942,0.017132695768579422,Heavy vehicle and mobile equipment service technicians and mechanics,1.2,0.4,(X),35116,0.6297122681761425
95,Metal-Refining Furnace Operators and Tenders,0.0001712789534670903,0.01712789534670903,Metal furnace operators tenders pourers and casters,11.6,4.2,(X),41226,0.5675820146201591
96,Media Technical Directors/Managers,0.0001711944707987619,0.017119447079876192,Technical writers,56.1,3.8,93.9,82147,0.36094229685894974
97,Tool and Die Makers,0.000171115248800887,0.0171115248800887,Tool and die makers,2.7,1.3,(X),38423,1.0
98,Sound Engineering Technicians,0.0001710745353525113,0.01710745353525113,Broadcast sound and lighting technicians,8.6,1.8,(X),56296,0.5133183962938886
99,Fast Food and Counter Workers,0.0001709417940738781,0.017094179407387812,Fast food and counter workers,62.0,2.3,90.3,24846,1.0
100,Cartographers and Photogrammetrists,0.0001708173138526724,0.01708173138526724,Surveyors cartographers and photogrammetrists,17.8,3.7,(X),69524,0.8311063069611383
101,Graphic Designers,0.000170733465118194,0.0170733465118194,Graphic designers,51.5,1.9,88.8,55657,1.0000000000000002
102,Engine and Other Machine Assemblers,0.0001706253725483463,0.017062537254834628,Engine and other machine assemblers,13.7,7.8,(X),37116,1.0000000000000002
103,"Cooks, Institution and Cafeteria",0.0001705828727749904,0.01705828727749904,Cooks,38.1,1.0,86.2,26278,0.5121840113236087
104,Prepress Technicians and Workers,0.0001705788617312507,0.01705788617312507,Prepress technicians and workers,37.0,6.2,(X),44088,1.0000000000000002
105,Gambling Surveillance Officers and Gambling Investigators,0.0001705385554549112,0.01705385554549112,Security guards and gambling surveillance officers,22.2,1.0,90,36032,0.6755899735032838
106,Word Processors and Typists,0.0001705270029630137,0.01705270029630137,Word processors and typists,85.8,4.4,(X),38796,1.0000000000000004
107,"Pressers, Textile, Garment, and Related Materials",0.0001701890506330514,0.01701890506330514,Pressers textile garment and related materials,41.8,5.9,(X),28988,1.0
108,Statistical Assistants,0.0001699584342164683,0.016995843421646832,Statistical assistants,51.1,5.1,92.4,59542,1.0
109,Loan Interviewers and Clerks,0.0001699528288846227,0.01699528288846227,Loan interviewers and clerks,77.8,1.8,94.6,52955,1.0
110,Survey Researchers,0.0001697658540077348,0.01697658540077348,Survey researchers,68.1,22.1,(X),61570,1.0000000000000002
111,"Roustabouts, Oil and Gas",0.0001697569750367145,0.01697569750367145,Roustabouts oil and gas,3.1,4.9,-,-,1.0000000000000004
112,Etchers and Engravers,0.0001697364934213275,0.01697364934213275,Etchers and engravers,36.4,11.8,(X),47922,1.0000000000000002
113,Glaziers,0.0001697109455248897,0.01697109455248897,Glaziers,1.6,1.4,(X),37593,1.0
114,"Office Clerks, General",0.0001697020939942451,0.01697020939942451,Office clerks general,82.2,0.8,93.8,40659,1.0
115,Millwrights,0.0001696819738533926,0.01696819738533926,Millwrights,2.8,1.8,(X),62763,1.0
116,Automotive Service Technicians and Mechanics,0.000169548684005536,0.0169548684005536,Automotive service technicians and mechanics,1.6,0.3,91.9,43097,1.0000000000000002
117,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.0001695369130916854,0.01695369130916854,Forming machine setters operators and tenders metal and plastic,14.5,4.3,(X),43043,0.5443867313138571
118,Shoe and Leather Workers and Repairers,0.0001694148903534527,0.01694148903534527,Shoe and leather workers,39.5,9.1,(X),26817,0.9188954586913175
119,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.0001693224693636069,0.01693224693636069,Doortodoor sales workers news and street vendors and related workers,40.4,5.2,74.1,33846,0.6468790818067267
120,Medical Appliance Technicians,0.0001692829007671932,0.01692829007671932,Dental and ophthalmic laboratory technicians and medical appliance technicians,56.1,3.1,74.1,37570,0.6649404918184473
121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.0001689320313826473,0.01689320313826473,Textile machine setters operators and tenders,44.0,9.6,(X),31595,0.4591346200613118
122,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.0001688740657615496,0.016887406576154958,Grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic,10.6,2.9,(X),31515,1.0000000000000002
123,Desktop Publishers,0.0001688348986698373,0.01688348986698373,Desktop publishers,38.2,25.5,(X),50724,1.0000000000000002
124,Ophthalmic Laboratory Technicians,0.0001687990874890025,0.01687990874890025,Dental and ophthalmic laboratory technicians and medical appliance technicians,56.1,3.1,74.1,37570,0.6951487175040254
125,New Accounts Clerks,0.0001687513197178711,0.01687513197178711,New accounts clerks,69.9,11.6,(X),40597,1.0
126,"Dentists, General",0.0001686991107112257,0.016869911071122567,Dentists,32.0,2.8,79,158308,0.7686606773152654
127,Medical Dosimetrists,0.0001686125045740496,0.01686125045740496,Nuclear medicine technologists and medical dosimetrists,46.1,4.9,87.2,99444,0.6553143068464895
128,Acupuncturists,0.0001685423720345846,0.01685423720345846,Acupuncturists,65.5,7.3,(X),62294,1.0
129,Writers and Authors,0.0001683926375529985,0.01683926375529985,Writers and authors,55.5,2.1,95.2,67291,1.0
130,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.0001682292199057367,0.01682292199057367,Other machine tool setters operators and tenders metal and plastic,12.0,5.9,(X),32669,0.7300804100961609
131,Motorboat Operators,0.0001682216892540952,0.016822168925409522,Telephone operators,61.1,8.9,(X),35736,0.1873151668501102
132,Telecommunications Line Installers and Repairers,0.0001680462820667269,0.016804628206672688,Telecommunications line installers and repairers,3.2,1.3,(X),57167,1.0000000000000002
133,"Hotel, Motel, and Resort Desk Clerks",0.0001680375835781265,0.01680375835781265,Hotel motel and resort desk clerks,58.8,4.2,87.5,27806,1.0000000000000002
134,Endoscopy Technicians,0.0001679081653431556,0.01679081653431556,Dietetic technicians and ophthalmic medical technicians,79.3,4.2,(X),34290,0.25154632508345554
135,Atmospheric and Space Scientists,0.0001678953156829275,0.01678953156829275,Atmospheric and space scientists,14.8,4.6,(X),83784,1.0
136,Actors,0.0001678564768482738,0.01678564768482738,Actors,41.1,8.0,(X),49659,1.0
137,Postal Service Mail Carriers,0.0001676969418828212,0.01676969418828212,Postal service mail carriers,37.5,1.6,87.5,56680,1.0
138,Histotechnologists,0.0001676272906769018,0.01676272906769018,Total,43.5,0.1,82,51400,0.0
139,"Maintenance and Repair Workers, General",0.0001673762398544107,0.01673762398544107,Maintenance and repair workers general,4.0,0.5,77.2,40931,1.0000000000000002
140,"Hairdressers, Hairstylists, and Cosmetologists",0.0001673057232169021,0.016730572321690212,Hairdressers hairstylists and cosmetologists,89.0,0.9,81.3,34470,1.0000000000000002
141,"Explosives Workers, Ordnance Handling Experts, and Blasters",0.0001672971778458143,0.016729717784581433,Explosives workers ordnance handling experts and blasters,3.2,2.9,(X),49495,1.0000000000000002
142,Commercial Divers,0.0001671975071249172,0.01671975071249172,Commercial divers,16.0,13.6,(X),31786,1.0
143,"Model Makers, Wood",0.0001669986748294385,0.01669986748294385,Model makers and patternmakers metal and plastic,26.9,13.2,(X),35517,0.5606875502767998
144,Recycling and Reclamation Workers,0.0001667046578673213,0.01667046578673213,Other metal workers and plastic workers,21.1,1.4,81.7,37372,0.21323509917437863
145,"Airline Pilots, Copilots, and Flight Engineers",0.0001666787504032714,0.01666787504032714,Aircraft pilots and flight engineers,5.6,1.1,(X),94593,0.5960769896239114
146,Dishwashers,0.0001666490376364752,0.016664903763647522,Dishwashers,21.5,2.6,90.9,23978,1.0
147,"Layout Workers, Metal and Plastic",0.000166588894118145,0.016658889411814502,Other metal workers and plastic workers,21.1,1.4,81.7,37372,0.6306376223437682
148,Special Effects Artists and Animators,0.0001663851207631713,0.016638512076317127,Artists and related workers,41.0,2.2,68.5,42772,0.3302325105771785
149,Watch and Clock Repairers,0.0001661121082636129,0.01661121082636129,Control and valve installers and repairers,5.7,2.6,(X),50414,0.17976536216677183
150,"Cooks, Fast Food",0.0001660468935774844,0.01660468935774844,Fast food and counter workers,62.0,2.3,90.3,24846,0.6047537661262324
151,Interior Designers,0.0001660178903998914,0.01660178903998914,Interior designers,79.5,2.7,107.9,63763,1.0000000000000002
152,"Poets, Lyricists and Creative Writers",0.0001659868837162029,0.01659868837162029,Technical writers,56.1,3.8,93.9,82147,0.3159241491412577
153,Food Preparation Workers,0.000165700419953733,0.0165700419953733,Food preparation workers,58.7,1.9,92,26250,1.0000000000000002
154,Surveyors,0.0001655253701181664,0.01655253701181664,Surveyors cartographers and photogrammetrists,17.8,3.7,(X),69524,0.5561135734087223
155,Commercial and Industrial Designers,0.0001652605339927367,0.01652605339927367,Commercial and industrial designers,23.6,6.4,(X),77891,1.0
156,Gem and Diamond Workers,0.00016489112347561,0.016489112347560998,Other metal workers and plastic workers,21.1,1.4,81.7,37372,0.20822745729546902
157,Mechanical Drafters,0.0001646483577901553,0.01646483577901553,Other drafters,17.6,2.4,88.4,56194,0.6047025536380206
158,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.0001646162046419138,0.01646162046419138,Welding soldering and brazing workers,5.3,0.8,82.8,40787,0.8095825500347887
159,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.0001646004270401097,0.01646004270401097,Sales representatives wholesale and manufacturing,26.4,0.9,80.9,66587,0.7386467012656545
160,Customs Brokers,0.0001645843681929723,0.01645843681929723,Real estate brokers and sales agents,51.4,1.1,81.1,68174,0.3534892945833641
161,Police Identification and Records Officers,0.0001645199392550735,0.01645199392550735,Police officers,13.9,0.9,83.1,64004,0.6159665198908453
162,Anesthesiologists,0.0001643799685968706,0.01643799685968706,Total,43.5,0.1,82,51400,0.0
163,Cleaners of Vehicles and Equipment,0.0001643725835145846,0.016437258351458463,Cleaners of vehicles and equipment,17.9,1.7,92.8,30598,1.0000000000000002
164,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",0.000164334680022489,0.016433468002248902,Physical therapists,57.8,1.7,88.4,82476,0.2918633166070174
165,Boilermakers,0.0001640509945307154,0.01640509945307154,Boilermakers,2.0,2.5,-,-,1.0
166,Bill and Account Collectors,0.0001636861650563136,0.016368616505631362,Bill and account collectors,73.4,2.8,94.4,42284,1.0
167,Music Directors and Composers,0.0001636088815858006,0.01636088815858006,Music directors and composers,24.0,4.7,(X),53399,1.0
168,Firefighters,0.0001636038677700666,0.016360386777006658,Firefighters,5.0,0.8,89.5,70174,1.0
169,Urologists,0.0001634027788617477,0.016340277886174773,Total,43.5,0.1,82,51400,0.0
170,Sailors and Marine Oilers,0.0001633804284761201,0.01633804284761201,Sailors and marine oilers,8.6,3.9,(X),58512,1.0
171,Couriers and Messengers,0.0001633445289288445,0.01633445289288445,Couriers and messengers,19.8,1.4,76.1,31434,1.0000000000000002
172,Retail Salespersons,0.0001633129157366136,0.016331291573661363,Retail salespersons,37.4,0.7,71.7,34094,1.0
173,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0.0001632351061303455,0.01632351061303455,Forming machine setters operators and tenders metal and plastic,14.5,4.3,(X),43043,0.6327815073786586
174,Aircraft Mechanics and Service Technicians,0.0001632140201888258,0.016321402018882582,Aircraft mechanics and service technicians,4.3,1.1,(X),54569,1.0
175,Microbiologists,0.000163179721490362,0.0163179721490362,Total,43.5,0.1,82,51400,0.0
176,Audio and Video Technicians,0.0001631480720672073,0.016314807206720728,Television video and film camera operators and editors,19.2,2.5,103.7,64202,0.2773832048703081
177,Geographic Information Systems Technologists and Technicians,0.0001630369229135054,0.01630369229135054,Computer and information systems managers,27.1,0.9,86.4,113908,0.5085013611761802
178,Intelligence Analysts,0.0001630077021094118,0.01630077021094118,Management analysts,43.2,1.0,85.4,90607,0.3570408815920544
179,"Stone Cutters and Carvers, Manufacturing",0.0001630031292529019,0.01630031292529019,Jewelers and precious stone and metal workers,35.9,4.7,76.5,35888,0.26553974929024565
180,Political Scientists,0.0001629660030324576,0.01629660030324576,Medical scientists,56.8,2.5,92.6,81833,0.4184731440104337
181,Reinforcing Iron and Rebar Workers,0.0001627724932659366,0.016277249326593662,Reinforcing iron and rebar workers,0.0,4.4,-,-,1.0000000000000002
182,Astronomers,0.000162634356792198,0.016263435679219798,Astronomers and physicists,16.6,4.4,(X),102606,0.697078617559136
183,"Tank Car, Truck, and Ship Loaders",0.000162608574428512,0.0162608574428512,Ship engineers,3.8,4.4,(X),81250,0.3655010263289771
184,Semiconductor Processing Technicians,0.0001625855380797729,0.01625855380797729,Food processing workers all other,31.1,2.4,83.1,37864,0.30803744404169053
185,Medical Secretaries and Administrative Assistants,0.0001624856864818017,0.016248568648180167,Medical secretaries and administrative assistants,91.5,1.8,(X),40972,1.0000000000000002
186,Physicists,0.0001621973997492561,0.01621973997492561,Astronomers and physicists,16.6,4.4,(X),102606,0.697078617559136
187,"Cooks, Restaurant",0.0001621593480811447,0.016215934808114472,Cooks,38.1,1.0,86.2,26278,0.6686940433428977
188,Aircraft Cargo Handling Supervisors,0.0001621038008334503,0.016210380083345032,Cargo and freight agents,45.5,6.6,68,41851,0.3473950683729139
189,Sociologists,0.0001618193327155783,0.016181933271557827,Sociologists,77.7,11.0,(X),86460,1.0
190,Credit Counselors,0.0001616146504428023,0.01616146504428023,Credit counselors and loan officers,52.4,1.8,65.4,62044,0.7114045686655784
191,"Earth Drillers, Except Oil and Gas",0.0001615699619206873,0.016156996192068732,Earth drillers except oil and gas,1.1,1.1,(X),32335,1.0000000000000002
192,Architectural and Civil Drafters,0.0001615276520962218,0.01615276520962218,Architectural and civil drafters,17.3,3.1,94.3,61212,1.0000000000000004
193,Phlebotomists,0.0001614695426506514,0.01614695426506514,Phlebotomists,83.1,2.3,89.1,37723,1.0
194,Photographers,0.0001613592742203879,0.01613592742203879,Photographers,41.5,3.0,79.6,41408,1.0
195,Tile and Stone Setters,0.0001613332631690593,0.01613332631690593,Jewelers and precious stone and metal workers,35.9,4.7,76.5,35888,0.3454746553168484
196,Cytogenetic Technologists,0.0001610956878192694,0.01610956878192694,Surgical technologists,75.3,3.0,84.5,50748,0.306544404379008
197,"Geoscientists, Except Hydrologists and Geographers",0.0001610465202197022,0.01610465202197022,Geoscientists and hydrologists except geographers,20.9,2.9,100.5,92644,1.0000000000000002
198,Log Graders and Scalers,0.000160955611886292,0.0160955611886292,Graders and sorters agricultural products,65.4,5.7,72.8,30267,0.3139756679625599
199,Pharmacy Technicians,0.000160856579076165,0.0160856579076165,Pharmacy technicians,75.9,1.6,92.1,38225,1.0000000000000002
200,Remote Sensing Technicians,0.0001606967712689425,0.01606967712689425,Dietetic technicians and ophthalmic medical technicians,79.3,4.2,(X),34290,0.19670880211346992
201,"Bookkeeping, Accounting, and Auditing Clerks",0.0001606310500915151,0.01606310500915151,Bookkeeping accounting and auditing clerks,86.4,0.8,90.9,46557,1.0
202,Real Estate Brokers,0.0001605928735286948,0.016059287352869482,Real estate brokers and sales agents,51.4,1.1,81.1,68174,0.8369246938639676
203,Civil Engineering Technologists and Technicians,0.000160524886905232,0.0160524886905232,Electrical and electronic engineering technologists and technicians,10.0,2.4,(X),49612,0.5611319381174303
204,Parts Salespersons,0.0001602344183913089,0.01602344183913089,Parts salespersons,15.0,2.2,89.7,40616,1.0000000000000002
205,Cooling and Freezing Equipment Operators and Tenders,0.0001602343354395174,0.01602343354395174,Other production equipment operators and tenders,9.7,6.0,(X),36584,0.41929537664458943
206,"Electronic Equipment Installers and Repairers, Motor Vehicles",0.0001600229178023812,0.01600229178023812,Electronic equipment installers and repairers motor vehicles,2.8,3.2,(X),23323,1.0000000000000002
207,Cement Masons and Concrete Finishers,0.0001599877360694691,0.01599877360694691,Cement masons concrete finishers and terrazzo workers,1.3,1.0,(X),33804,0.8637682446475415
208,"Interviewers, Except Eligibility and Loan",0.0001599478341174862,0.01599478341174862,Interviewers except eligibility and loan,78.1,2.2,96.2,37468,1.0000000000000002
209,Barbers,0.0001599447650369627,0.01599447650369627,Barbers,18.8,2.6,88.6,28297,1.0
210,"Patternmakers, Wood",0.0001599342117802467,0.01599342117802467,Sawing machine setters operators and tenders wood,7.8,3.7,(X),41195,0.3616941820191168
211,"Maintenance Workers, Machinery",0.0001599095720337765,0.01599095720337765,Maintenance workers machinery,2.0,1.4,(X),73073,1.0
212,Biostatisticians,0.0001598695627728503,0.015986956277285032,Total,43.5,0.1,82,51400,0.0
213,Tax Preparers,0.0001597737637946166,0.01597737637946166,Tax preparers,58.9,3.9,76.2,58976,1.0
214,Electrical and Electronic Engineering Technologists and Technicians,0.0001595863030782383,0.01595863030782383,Electrical and electronic engineering technologists and technicians,10.0,2.4,(X),49612,1.0
215,Segmental Pavers,0.0001595353792364007,0.01595353792364007,Total,43.5,0.1,82,51400,0.0
216,Drywall and Ceiling Tile Installers,0.0001595276948186424,0.015952769481864238,Drywall installers ceiling tile installers and tapers,3.8,1.3,(X),33424,0.8727509305296782
217,Dental Laboratory Technicians,0.0001594199477489807,0.01594199477489807,Dental and ophthalmic laboratory technicians and medical appliance technicians,56.1,3.1,74.1,37570,0.6897026583032589
218,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.0001594145703068406,0.01594145703068406,Cutting punching and press machine setters operators and tenders metal and plastic,15.0,2.4,78.8,34254,0.5677397321443118
219,Fishing and Hunting Workers,0.0001593326679639781,0.01593326679639781,Fishing and hunting workers,4.3,2.7,(X),41622,1.0000000000000004
220,Choreographers,0.000159038473670976,0.0159038473670976,Dancers and choreographers,71.2,10.2,(X),52434,0.697078617559136
221,Locomotive Engineers,0.0001589232512541584,0.01589232512541584,Locomotive engineers and operators,2.6,1.7,(X),58599,0.9014057245183782
222,Continuous Mining Machine Operators,0.0001588560302835019,0.01588560302835019,Underground mining machine operators,1.5,0.9,(X),61857,0.5388238793285465
223,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.0001587492417001267,0.01587492417001267,Other machine tool setters operators and tenders metal and plastic,12.0,5.9,(X),32669,0.7300804100961609
224,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.0001585831125454972,0.01585831125454972,Heating air conditioning and refrigeration mechanics and installers,1.2,0.3,(X),41929,1.0
225,Manufactured Building and Mobile Home Installers,0.000158484601270374,0.0158484601270374,Manufactured building and mobile home installers,0.0,8.0,-,-,1.0
226,Jewelers and Precious Stone and Metal Workers,0.0001583412854586435,0.01583412854586435,Jewelers and precious stone and metal workers,35.9,4.7,76.5,35888,1.0000000000000002
227,Furniture Finishers,0.0001582931487797915,0.01582931487797915,Furniture finishers,13.1,7.9,(X),38378,1.0
228,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",0.0001581877018013115,0.01581877018013115,Locomotive engineers and operators,2.6,1.7,(X),58599,0.40154579667185164
229,Bakers,0.0001578374179023941,0.015783741790239413,Bakers,57.1,2.7,87.9,31289,1.0
230,Travel Guides,0.0001575159600961324,0.01575159600961324,Tour and travel guides,39.9,8.3,(X),39603,0.7821142346417642
231,"Welders, Cutters, Solderers, and Brazers",0.0001573363032886689,0.01573363032886689,Molders and molding machine setters operators and tenders metal and plastic,13.9,3.3,(X),36238,0.03941350627713285
232,Nurse Anesthetists,0.0001573173672751534,0.01573173672751534,Nurse anesthetists,54.8,4.9,94.6,197523,1.0000000000000002
233,Manicurists and Pedicurists,0.0001572061005987665,0.015720610059876648,Manicurists and pedicurists,76.9,1.9,86.1,28284,1.0000000000000002
234,Medical and Clinical Laboratory Technicians,0.0001571468847927967,0.01571468847927967,Clinical laboratory technologists and technicians,70.2,1.6,91.2,52635,0.7929524160856645
235,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.0001570195345859139,0.015701953458591388,Molders and molding machine setters operators and tenders metal and plastic,13.9,3.3,(X),36238,0.034106472251950064
236,Editors,0.0001569287849983902,0.01569287849983902,Editors,57.2,2.7,95.7,67529,1.0
237,Computer Systems Analysts,0.000156850074362209,0.0156850074362209,Computer systems analysts,40.1,1.2,89.1,82464,1.0000000000000004
238,Insurance Claims and Policy Processing Clerks,0.0001568494088593465,0.01568494088593465,Insurance claims and policy processing clerks,82.1,1.8,81,42396,1.0
239,Dental Assistants,0.0001566385917212424,0.01566385917212424,Dental assistants,93.1,1.1,79.1,37080,1.0
240,Construction and Building Inspectors,0.0001564473037628122,0.01564473037628122,Construction and building inspectors,8.5,1.6,76.8,50749,1.0000000000000002
241,"Geological Technicians, Except Hydrologic Technicians",0.0001564079603606246,0.01564079603606246,Dietetic technicians and ophthalmic medical technicians,79.3,4.2,(X),34290,0.31731380100677536
242,"Nursing Instructors and Teachers, Postsecondary",0.0001563368948037139,0.01563368948037139,Other teachers and instructors,53.8,1.5,78.1,49175,0.6159040469625306
243,Anthropologists and Archeologists,0.0001562915237613105,0.01562915237613105,Molders and molding machine setters operators and tenders metal and plastic,13.9,3.3,(X),36238,0.05351612466019237
244,Food Service Managers,0.0001561904891067865,0.015619048910678649,Food service managers,46.1,1.1,77,41433,1.0
245,Biologists,0.00015610457529593,0.015610457529592999,Total,43.5,0.1,82,51400,0.0
246,Demonstrators and Product Promoters,0.0001560980404557635,0.01560980404557635,Models demonstrators and product promoters,64.2,7.9,(X),40143,0.865276519857138
247,"Energy Engineers, Except Wind and Solar",0.0001559704027104265,0.01559704027104265,Solar photovoltaic installers,2.2,2.6,-,-,0.291545366119459
248,Solar Thermal Installers and Technicians,0.0001559188074314267,0.015591880743142671,Solar photovoltaic installers,2.2,2.6,-,-,0.4902321394591557
249,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.0001559125126976091,0.01559125126976091,Textile machine setters operators and tenders,44.0,9.6,(X),31595,0.3679390228114848
250,Transportation Security Screeners,0.0001558796637143862,0.01558796637143862,Transportation security screeners,36.2,5.0,88.6,45231,1.0
251,Merchandise Displayers and Window Trimmers,0.0001558410333480675,0.015584103334806752,Merchandise displayers and window trimmers,58.9,7.1,(X),35946,1.0000000000000002
252,"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.0001556512271904767,0.01556512271904767,Buyers and purchasing agents farm products,28.9,9.4,(X),60689,0.1715468251554849
253,Light Truck Drivers,0.0001554568913002425,0.015545689130024251,Driversales workers and truck drivers,5.7,0.3,69.3,37058,0.5263916554528447
254,Floral Designers,0.0001552283063276218,0.01552283063276218,Floral designers,87.2,3.8,(X),35201,1.0000000000000002
255,Forest and Conservation Technicians,0.0001551455495578908,0.01551455495578908,Forest and conservation workers,18.0,5.2,(X),34028,0.8743349419988174
256,Photographic Process Workers and Processing Machine Operators,0.0001551032854718987,0.01551032854718987,Photographic process workers and processing machine operators,36.3,5.0,(X),57232,1.0
257,Food Batchmakers,0.0001550015127880201,0.01550015127880201,Food batchmakers,58.4,4.2,75.9,32834,1.0
258,Exercise Trainers and Group Fitness Instructors,0.0001549388433067489,0.01549388433067489,Exercise trainers and group fitness instructors,46.3,3.2,95.9,40103,1.0
259,Medical Equipment Repairers,0.0001549163689838412,0.01549163689838412,Audiovisual equipment installers and repairers,3.7,2.2,(X),55980,0.4663890349820021
260,Credit Analysts,0.000154903803369561,0.0154903803369561,Credit analysts,49.7,4.4,90.4,64683,1.0000000000000002
261,Pile Driver Operators,0.0001548100358603593,0.01548100358603593,Telephone operators,61.1,8.9,(X),35736,0.1356378200259121
262,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",0.0001547989134571763,0.015479891345717629,Forming machine setters operators and tenders metal and plastic,14.5,4.3,(X),43043,0.7133317526688008
263,Hearing Aid Specialists,0.000154787602308749,0.0154787602308749,Other financial specialists,56.0,2.7,64.2,67224,0.20435422441861778
264,Logging Equipment Operators,0.0001546897956075213,0.015468979560752131,Logging workers,2.6,1.2,(X),29128,0.7080880572881726
265,Electrical Power-Line Installers and Repairers,0.0001546264838522237,0.015462648385222369,Telecommunications line installers and repairers,3.2,1.3,(X),57167,0.567916513327573
266,"Insurance Appraisers, Auto Damage",0.0001545957335432772,0.015459573354327719,Insurance underwriters,60.1,2.5,88,71420,0.28029867889418236
267,Speech-Language Pathologists,0.0001545552027758979,0.01545552027758979,Speechlanguage pathologists,94.3,1.1,87.9,72470,0.3901304702521127
268,Dental Hygienists,0.0001544887124813107,0.01544887124813107,Dental hygienists,92.2,1.6,(X),68169,1.0
269,Medical Transcriptionists,0.0001543905105950149,0.015439051059501491,Medical transcriptionists,84.7,5.4,(X),33063,1.0
270,Environmental Restoration Planners,0.0001543596755577389,0.015435967555773889,Environmental engineers,31.8,4.7,85.1,87249,0.4148671694826864
271,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0.0001541912607359314,0.01541912607359314,Brickmasons blockmasons and stonemasons,0.9,0.6,(X),25968,0.6990604394743802
272,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.0001541356753937618,0.015413567539376179,Extruding forming pressing and compacting machine setters operators and tenders,18.7,5.0,(X),32503,1.0000000000000002
273,Fashion Designers,0.0001540994157043855,0.01540994157043855,Fashion designers,82.6,5.6,(X),56181,1.0000000000000002
274,Railroad Conductors and Yardmasters,0.000153930722601831,0.0153930722601831,Railroad conductors and yardmasters,9.2,3.5,(X),52058,1.0000000000000004
275,Patient Representatives,0.0001538809121757308,0.015388091217573079,Customer service representatives,67.0,0.7,87.8,40097,0.35634920121109503
276,Nuclear Monitoring Technicians,0.000153735198494367,0.0153735198494367,Nuclear technicians,20.3,9.1,(X),92280,0.6859752994113933
